"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
478;Deniz Turuc\Deniz-Turuc;tr TUR;MF;Fenerbahçe;26;1993;18;8;899;2;0;0;0;2;1;0.20;0.00;0.20;0.20;0.20;Matches
479;Patrick Twumasi\Patrick-Twumasi;gh GHA;MFFW;Gaziantep FK;25;1994;21;16;1429;5;4;2;2;1;0;0.31;0.25;0.57;0.19;0.44;Matches
480;Georgios Tzavellas\Georgios-Tzavellas;gr GRE;DF;Alanyaspor;31;1987;10;8;769;1;0;0;0;2;0;0.12;0.00;0.12;0.12;0.12;Matches
481;Salih Uçan\Salih-Ucan;tr TUR;MF;Alanyaspor;25;1994;17;7;666;1;1;0;0;1;0;0.14;0.14;0.27;0.14;0.27;Matches
482;Uğur Uçar\Ugur-Ucar;tr TUR;DF;Başakşehir;32;1987;1;0;;0;0;0;0;1;0;;;;;;Matches
483;Alper Uludağ\Alper-Uludag;tr TUR;DF;Konyaspor;28;1990;12;11;898;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
484;Aminu Umar\Aminu-Umar;ng NGA;MF;Rizespor;24;1995;18;15;1346;3;1;0;0;2;0;0.20;0.07;0.27;0.20;0.27;Matches
485;Necip Uysal\Necip-Uysal;tr TUR;DFMF;Beşiktaş;28;1991;9;4;396;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
486;Anthony Uzodimma\Anthony-Uzodimma;ng NGA;MF;Kayserispor;20;1999;1;1;57;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
487;Fıratcan Üzüm\Firatcan-Uzum;tr TUR;MF;Trabzonspor;20;1999;3;0;21;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
488;Ömer Uzun\Omer-Uzun;tr TUR;MF;Kayserispor;19;2000;2;1;89;1;1;0;0;0;0;1.01;1.01;2.02;1.01;2.02;Matches
489;Olivier Veigneau\Olivier-Veigneau;fr FRA;DF;Kasımpaşa;34;1985;5;3;333;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
490;Amedej Vetrih\Amedej-Vetrih;si SVN;MF;Rizespor;28;1990;17;15;1226;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
491;Domagoj Vida\Domagoj-Vida;hr CRO;DF;Beşiktaş;30;1989;24;24;2052;4;0;0;0;1;1;0.18;0.00;0.18;0.18;0.18;Matches
492;Miguel Vieira\Miguel-Vieira;pt POR;DF;Başakşehir;28;1990;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
493;Edin Višća\Edin-Visca;ba BIH;MF;Başakşehir;29;1990;24;24;2146;8;9;2;2;1;0;0.34;0.38;0.71;0.25;0.63;Matches
494;Güray Vural\Guray-Vural;tr TUR;MFDF;Gaziantep FK;31;1988;19;19;1419;4;1;0;0;4;2;0.25;0.06;0.32;0.25;0.32;Matches
495;Rémi Walter\Remi-Walter;fr FRA;MF;Yeni Mal'spor;24;1995;3;2;188;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
496;Welinton\Welinton;br BRA;DF;Alanyaspor;30;1989;21;21;1857;2;0;0;0;7;0;0.10;0.00;0.10;0.10;0.10;Matches
497;Kamil Wilczek\Kamil-Wilczek;pl POL;FW;Göztepe;31;1988;5;2;179;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
498;Güven Yalçın\Guven-Yalcin;tr TUR;FWMF;Beşiktaş;20;1999;13;5;496;2;0;0;0;2;0;0.36;0.00;0.36;0.36;0.36;Matches
499;Robin Yalçın\Robin-Yalcin;de GER;MFDF;Yeni Mal'spor;25;1994;21;21;1853;3;0;0;0;9;1;0.15;0.00;0.15;0.15;0.15;Matches
500;Mert Yandaş\Mert-Yandas;tr TUR;MF;Sivasspor;24;1994;23;23;1978;6;3;1;2;6;0;0.27;0.14;0.41;0.23;0.36;Matches
501;Barış Yardımcı\Baris-Yardimci;tr TUR;DF;Sivasspor;26;1992;1;1;10;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
502;Ali Yasar\Ali-Yasar;be BEL;DF;Konyaspor;24;1995;3;0;17;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
503;Karahan Yasir Subaşı\Karahan-Yasir-Subasi;tr TUR;DF;Kayserispor;23;1996;15;14;1249;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
504;Mustapha Yatabaré\Mustapha-Yatabare;ml MLI;FW;Sivasspor;33;1986;23;23;2007;11;3;0;0;5;0;0.49;0.13;0.63;0.49;0.63;Matches
505;Zeki Yavru\Zeki-Yavru;tr TUR;DFMF;Denizlispor;27;1991;21;19;1599;0;2;0;0;3;0;0.00;0.11;0.11;0.00;0.11;Matches
506;Uğurcan Yazgılı\Ugurcan-Yazgili;tr TUR;DF;Kasımpaşa;20;1999;1;0;;0;0;0;0;0;0;;;;;;Matches
507;Erdoğan Yeşilyurt\Erdogan-Yesilyurt;tr TUR;MFFW;Sivasspor;25;1993;20;11;939;4;2;0;0;6;0;0.38;0.19;0.58;0.38;0.58;Matches
508;Muammer Yıldırım\Muammer-Yildirim;tr TUR;GK;Sivasspor;28;1990;1;0;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
509;Murat Yıldırım\Murat-Yildirim;tr TUR;MF;Yeni Mal'spor;32;1987;14;8;788;0;1;0;0;5;0;0.00;0.11;0.11;0.00;0.11;Matches
510;Ahmet Yılmaz Çalık\Ahmet-Yilmaz-Calik;tr TUR;DF;Galatasaray;25;1994;7;4;382;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
511;Burak Yılmaz\Burak-Yilmaz;tr TUR;FW;Beşiktaş;34;1985;19;18;1609;11;3;6;6;3;0;0.62;0.17;0.78;0.28;0.45;Matches
512;Kartal Yılmaz\Kartal-Yilmaz;tr TUR;MF;Beşiktaş;18;2000;1;0;7;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
513;Oğuz Yılmaz\Oguz-Yilmaz;tr TUR;DF;Denizlispor;26;1993;18;17;1572;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
514;Rıdvan Yılmaz\Ridvan-Yilmaz;tr TUR;DF;Beşiktaş;18;2001;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
515;Sefa Yılmaz\Sefa-Yilmaz;tr TUR;MFFW;Gençlerbirliği;29;1990;11;7;548;0;1;0;0;0;0;0.00;0.16;0.16;0.00;0.16;Matches
516;Mustafa Yumlu\Mustafa-Yumlu;tr TUR;DF;Denizlispor;31;1987;18;15;1324;2;1;0;0;5;0;0.14;0.07;0.20;0.14;0.20;Matches
517;Utku Yuvakuran\Utku-Yuvakuran;tr TUR;GK;Beşiktaş;21;1997;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
518;Miha Zajc\Miha-Zajc;si SVN;MF;Fenerbahçe;25;1994;4;0;107;1;0;0;0;0;0;0.84;0.00;0.84;0.84;0.84;Matches
519;Ümran Zambak\Umran-Zambak;nl NED;MF;Kayserispor;18;2000;1;0;4;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
520;Daniel Łukasik\Daniel-Lukasik;pl POL;MF;Ankaragücü;28;1991;6;6;534;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
